Date,Category,Description,Income (Donations),Expense,Balance,Notes
,,,,,,
,,"CATEGORY REFERENCE:",,,,
,,"1. Administrative - registration fees, registered agent, insurance, accounting, legal, bank fees",,,,
,,"2. Technology & Communications - website, email, Stripe fees, design tools",,,,
,,"3. Marketing & Outreach - social media, content creation, printed materials, conferences",,,,
,,"4. Program Development - curriculum, resources, travel for assessment, translation",,,,
,,"5. Personnel - director compensation, contractors, coordinators",,,,
,,"6. Community & Access - teacher training scholarships, program materials, on-site support, partner grants",,,,
,,"7. Professional Development - conferences, training, certifications, books",,,,
,,"8. Miscellaneous - office supplies, shipping, meals, other",,,,
,,"9. Donation Income - for incoming donations",,,,
,,,,,,
,,"--- TRANSACTIONS BEGIN BELOW ---",,,,
,,,,,,
2025-01-15,Donation Income,Initial founding donation,200.00,,200.00,First donation received
2025-02-10,Donation Income,Online donation via Stripe,150.00,,350.00,Recurring supporter
2025-03-22,Donation Income,Community supporter donation,100.00,,450.00,
2025-04-18,Donation Income,Online donation via Stripe,100.00,,550.00,
,,,,,,
2025-01-20,Administrative,State registration / incorporation fees,,75.00,475.00,Initial nonprofit filing
2025-02-01,Technology & Communications,Website hosting (annual),,150.00,325.00,Domain + hosting plan
2025-02-10,Technology & Communications,Stripe processing fees (on $150 donation),,4.65,320.35,2.9% + $0.30 per transaction
2025-03-01,Technology & Communications,Email service,,0.00,320.35,Free tier
,,,,,,
,,,,,,
